start.location,start.latitude,start.longitude,end.location,end.latitude,end.longitude,date,journey,number.of.letters
"CAN, Dodsland (ON)",51.799528,-108.835033,"DEU, Munich",48.135125,11.581981,26-10-1926,-108.835033 51.799528 -108.835033 51.799528,2
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,03-01-1928,-79.866091 43.250021 -79.866091 43.250021,4
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,23-02-1928,-79.866091 43.250021 -79.866091 43.250021,4
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,21-07-1928,-79.866091 43.250021 -79.866091 43.250021,4
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,05-11-1928,-87.906474 43.038903 -87.906474 43.038903,65
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,26-12-1928,-87.906474 43.038903 -87.906474 43.038903,65
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,07-01-1929,-87.906474 43.038903 -87.906474 43.038903,65
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, Munich",48.135125,11.581981,19-03-1929,-87.906474 43.038903 -87.906474 43.038903,65
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, Munich",48.135125,11.581981,12-05-1929,-78.878369 42.886447 -78.878369 42.886447,6
"CAN, Hamilton (ON)",43.250021,-79.866091,"DEU, Munich",48.135125,11.581981,10-06-1929,-79.866091 43.250021 -79.866091 43.250021,4
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,30-06-1929,-78.878369 42.886447 -78.878369 42.886447,6
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,08-10-1930,-78.878369 42.886447 -78.878369 42.886447,6
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,19-11-1930,-78.878369 42.886447 -78.878369 42.886447,6
"USA, Buffalo (NY)",42.886447,-78.878369,"DEU, München",48.135125,11.581981,26-12-1930,-78.878369 42.886447 -78.878369 42.886447,6
"CAN, Dodsland (ON)",51.799528,-108.835033,"DEU, München",48.135125,11.581981,15-09-1931,-108.835033 51.799528 -108.835033 51.799528,2
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,20-09-1927,-87.906474 43.038903 -87.906474 43.038903,65
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,12-05-1927,-87.906474 43.038903 -87.906474 43.038903,65
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,21-06-1927,-87.906474 43.038903 -87.906474 43.038903,65
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,02-08-1927,-87.906474 43.038903 -87.906474 43.038903,65
"USA, Milwaukee (WI)",43.038903,-87.906474,"DEU, München",48.135125,11.581981,15-12-1930,-87.906474 43.038903 -87.906474 43.038903,65
"DEU, Bremen",53.079296,8.801694,"DEU, München",48.135125,11.581981,11-04-1927,8.801694 53.079296 8.801694 53.079296,9
"USA, Manitowoc (WI)",44.088606,-87.657584,"DEU, München",48.135125,11.581981,01-12-1924,-87.657584 44.088606 -87.657584 44.088606,2
"USA, Manitowoc (WI)",44.088606,-87.657584,"DEU, München",48.135125,11.581981,26-03-1925,-87.657584 44.088606 -87.657584 44.088606,2
"USA, Orange (NJ)",33.787794,-117.853112,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,31-12-1873,-117.853112 33.787794 -117.853112 33.787794,1
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,13-06-1852,-84.51202 39.103118 -84.51202 39.103118,56
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,05-06-1859,-84.51202 39.103118 -84.51202 39.103118,56
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,04-05-1854,-84.51202 39.103118 -84.51202 39.103118,56
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,21-11-1866,-84.51202 39.103118 -84.51202 39.103118,56
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,25-01-1850,-84.51202 39.103118 -84.51202 39.103118,56
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,26-01-1851,-84.51202 39.103118 -84.51202 39.103118,56
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,07-07-1853,-84.51202 39.103118 -84.51202 39.103118,56
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,14-06-1854,-84.495776 39.091449 -84.495776 39.091449,6
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,04-03-1855,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,03-04-1855,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,13-04-1856,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,22-11-1856,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,01-02-1857,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,29-10-1857,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,20-12-1858,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,15-04-1859,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,07-01-1861,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,15-03-1866,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,05-10-1866,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,22-02-1867,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,08-12-1867,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,13-06-1854,-84.495776 39.091449 -84.495776 39.091449,6
"USA, Newport (KY)",39.091449,-84.495776,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,10-07-1854,-84.495776 39.091449 -84.495776 39.091449,6
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,21-04-1856,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,25-11-1856,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,02-01-1857,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,01-12-1859,-91.434598 40.359211 -91.434598 40.359211,7
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,18-11-1860,-91.434598 40.359211 -91.434598 40.359211,7
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,05-12-1860,-91.434598 40.359211 -91.434598 40.359211,7
"USA, Warsaw (IL)",40.359211,-91.434598,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,10-04-1862,-91.434598 40.359211 -91.434598 40.359211,7
"USA, Koekuk (IA?)",40.404473,-91.396397,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,22-02-1867,-91.396397 40.404473 -91.396397 40.404473,2
"USA, Koekuk (IA?)",40.404473,-91.396397,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,08-12-1867,-91.396397 40.404473 -91.396397 40.404473,2
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,13-06-1852,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,02-04-1854,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Maisfeld (near Oskaloosa) (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,22-03-1855,-92.649359 41.291673 -92.649359 41.291673,33
"USA, Oskaloosa (IA)",41.291673,-92.649359,"DEU, Ribnitz (Mecklenburg)",54.252211,12.439749,14-08-1856,-92.649359 41.291673 -92.649359 41.291673,33
"DEU, Erfurt",50.984768,11.02988,"DEU, Gräfenroda",50.747635,10.810775,21-08-1877,11.02988 50.984768 11.02988 50.984768,2
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,27-01-1854,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,29-01-1854,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,10-09-1861,-83.045754 42.331427 -83.045754 42.331427,48
"DEU, Gotha",50.946919,10.709288,"DEU, Gräfenroda",50.747635,10.810775,09-08-1870,10.709288 50.946919 10.709288 50.946919,2
"DEU, Gotha",50.946919,10.709288,"DEU, Gräfenroda",50.747635,10.810775,17-08-1870,10.709288 50.946919 10.709288 50.946919,2
"FRA, Versailles",48.801408,2.130122,"DEU, Gräfenroda",50.747635,10.810775,14-02-1871,2.130122 48.801408 2.130122 48.801408,1
"FRA, Fort de Noisy",48.833953,2.560984,"DEU, Gräfenroda",50.747635,10.810775,31-08-1871,2.560984 48.833953 2.560984 48.833953,1
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Suhl",50.607685,10.688126,22-11-1854,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,28-09-1870,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,25-04-1880,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,27-07-1857,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,17-07-1869,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,18-10-1857,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,29-06-1858,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,16-02-1864,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,18-07-1869,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,08-04-1855,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,26-07-1857,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,11-08-1857,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,14-02-1858,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,09-11-1860,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,24-08-1864,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,12-09-1867,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,25-03-1869,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,20-06-1869,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,26-12-1874,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,21-02-1875,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,25-05-1876,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,26-11-1876,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,02-04-1877,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,11-08-1878,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,28-03-1884,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,10-01-1859,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,25-09-1859,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,17-04-1860,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,30-03-1862,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,26-12-1862,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,16-09-1864,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,12-03-1865,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,19-09-1866,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,18-04-1867,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,02-02-1868,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,14-01-1870,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,15-05-1870,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,20-10-1852,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,22-01-1854,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Detroit (MI)",42.331427,-83.045754,"DEU, Gräfenroda",50.747635,10.810775,22-03-1860,-83.045754 42.331427 -83.045754 42.331427,48
"USA, Monroe (MI)",41.916434,-83.39771,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,11-05-1885,-83.39771 41.916434 -83.39771 41.916434,1
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,10-04-1883,-78.880315 43.020335 -78.880315 43.020335,11
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,19-01-1888,-78.880315 43.020335 -78.880315 43.020335,11
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,24-01-1892,-78.880315 43.020335 -78.880315 43.020335,11
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,06-07-1899,-78.880315 43.020335 -78.880315 43.020335,11
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,20-03-1906,-78.880315 43.020335 -78.880315 43.020335,11
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,12-02-1904,-78.880315 43.020335 -78.880315 43.020335,11
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,03-09-1892,-78.880315 43.020335 -78.880315 43.020335,11
"USA, Tonawanda (NY)",43.020335,-78.880315,"DEU, Nienhagen (Mecklenburg)",54.161424,11.953062,13-04-1894,-78.880315 43.020335 -78.880315 43.020335,11
"USA, St. Louis (MO)",38.627003,-90.199404,"DEU, Heilbronn",49.142693,9.210879,06-03-1847,-90.199404 38.627003 -90.199404 38.627003,107
"USA, Cincinnati (OH)",39.103118,-84.51202,"DEU, Heilbronn",49.142693,9.210879,03-12-1836,-84.51202 39.103118 -84.51202 39.103118,56
"USA, Warschau (IN)",41.2381,-85.853047,"DEU, Stuttgart",48.775846,9.182932,12-06-1838,-85.853047 41.2381 -85.853047 41.2381,1
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,16-07-1854,-88.74566 43.386106 -88.74566 43.386106,6
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,07-04-1855,-88.74566 43.386106 -88.74566 43.386106,6
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,03-02-1856,-88.74566 43.386106 -88.74566 43.386106,6
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,06-04-1857,-88.74566 43.386106 -88.74566 43.386106,6
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,01-07-1857,-88.74566 43.386106 -88.74566 43.386106,6
"USA, Oak Grove (WI)",43.386106,-88.74566,"DEU, Neubrunn (TH)",50.49939,10.468045,03-07-1858,-88.74566 43.386106 -88.74566 43.386106,6
"USA, Edwardsville (IL)",38.811436,-89.953157,"DEU, Neubrunn (TH)",50.49939,10.468045,03-05-1862,-89.953157 38.811436 -89.953157 38.811436,10
